type	public_code	ur_code_legacy	XML_root_legacy	XML_element_legacy	description_LV	description_EN
governing_body	AUDITOR	REV	LegalEntityExtenedStructure	Institution	Revidents	Auditor
governing_body	BOARD_DIRECTORS	DVL	LegalEntityExtenedStructure	Institution	Direktoru valde	Board of Directors
governing_body	CENTRAL_COMMITTEE	CKM	LegalEntityExtenedStructure	Institution	Centrâlkomiteja	Central Committee
governing_body	CITY_COUNCIL	DOM	LegalEntityExtenedStructure	Institution	Dome	City Council
governing_body	COLLEGIUM	KOL	LegalEntityExtenedStructure	Institution	Kolçìija	Collegium
governing_body	COMMITTEE	KOM	LegalEntityExtenedStructure	Institution	Komiteja	Committee
governing_body	CONFERENCE	KNF	LegalEntityExtenedStructure	Institution	Konference	Conference
governing_body	CONGRESS	KNG	LegalEntityExtenedStructure	Institution	Kongress	Congress
governing_body	CONVENTION	KNV	LegalEntityExtenedStructure	Institution	Konvents	Convention
governing_body	COORDINATION_COUNCIL	KPD	LegalEntityExtenedStructure	Institution	Koordinâcijas padome	Coordination Council
governing_body	COUNCIL_DIRECTORS	DPD	LegalEntityExtenedStructure	Institution	Direktoru padome	Council of Directors
governing_body	DIRECTORATE	DIR	LegalEntityExtenedStructure	Institution	Direkcija	Directorate
governing_body	EXECUTIVE_BOARD	VAL	LegalEntityExtenedStructure	Institution	Valde	Executive Board
governing_body	EXECUTIVE_BODY	IZN	LegalEntityExtenedStructure	Institution	Izpildinstitûcija	Executive Body
governing_body	EXECUTIVE_COMMITTEE	IKM	LegalEntityExtenedStructure	Institution	Izpildkomiteja	Executive Committee
governing_body	GENERAL_MEETING	KOP	LegalEntityExtenedStructure	Institution	Kopsapulce	General Meeting
governing_body	LIQUIDATION_COMMITTEE	LKK	LegalEntityExtenedStructure	Institution	Likvidâcijas komisija	Liquidation Committee
governing_body	MANAGEMENT_BODY	VIN	LegalEntityExtenedStructure	Institution	Vadîbas institûcija	Management Body
governing_body	PRESIDIUM	PRZ	LegalEntityExtenedStructure	Institution	Prezidijs	Presidium
governing_body	SECRETARIAT	SKR	LegalEntityExtenedStructure	Institution	Sekretariâts	Secretariat
governing_body	SENATE	SNT	LegalEntityExtenedStructure	Institution	Senâts	Senate
governing_body	STAFF_COMMITTEE	ARK	LegalEntityExtenedStructure	Institution	Arodkomiteja	Staff Committee
governing_body	SUPERVISORY_BOARD	PAD	LegalEntityExtenedStructure	Institution	Padome	Supervisory Board
identity_document	DRIVING_LICENCE	VA	LegalEntityExtenedStructure	DocumentType	Vadîtâja apliecîba	Driving Licence
identity_document	FOREIGN_PASSPORT	AP	LegalEntityExtenedStructure	DocumentType	Ârzemju pase	Foreign Passport
identity_document	IDENTITY_CARD	IK	LegalEntityExtenedStructure	DocumentType	Identifikâcijas karte	Identification Card
identity_document	OTHER_DOCUMENT	CT	LegalEntityExtenedStructure	DocumentType	Cits dokuments	Other document
identity_document	PASSPORT	PS	LegalEntityExtenedStructure	DocumentType	Pase	Passport
legal_act	DECISION				Lçmums	Decision
legal_act	LAW				Likums	Law
legal_act	ORDER				Rîkojums	Order
legal_act	OTHER_LEGAL_ACT				Cits	Other
legal_act	PROTOCOL				Protokols	Protocol
legal_act	RULES				Noteikumi	Rules
legal_form	ADDITIONAL_LIABILITY_COMPANY_PAP	PAP	LegalEntityExtenedStructure	LegalForm	Sabiedrîba ar papildu atbildîbu  (vçsturiska forma)	Additional Liability Company (historical form)
legal_form	ALLIANCE_OF_POLITICAL_PARTIES_PPA	PPA	LegalEntityExtenedStructure	LegalForm	Politisko partiju apvienîba	Alliance of Political Parties
legal_form	ARBITRATION_COURT_SKT	SKT	LegalEntityExtenedStructure	LegalForm	Ðíîrçjtiesa	Arbitration Court
legal_form	ASSOCIATION_BDR	BDR	LegalEntityExtenedStructure	LegalForm	Biedrîba	Association
legal_form	ASSOCIATION_OF_PUBLIC_ORGANISATIONS_SAA	SAA	LegalEntityExtenedStructure	LegalForm	Sabiedrisko organizâciju apvienîba (vçsturiska forma)	Association of Public Organisations (historical form)
legal_form	ASSOCIATION_OF_PUBLIC_SPORTS_ORGANISATIONS_SPA	SPA	LegalEntityExtenedStructure	LegalForm	Sporta sabiedrisko organizâciju apvienîba (vçsturiska forma)	Association of Public Sports Organisations (historical form)
legal_form	ASSOCIATION_OF_TRADE_UNIONS_ARA	ARA	LegalEntityExtenedStructure	LegalForm	Arodbiedrîbu apvienîba	Association of Trade Unions
legal_form	BRANCH_FIL	FIL	LegalEntityExtenedStructure	LegalForm	Filiâle	Branch
legal_form	BRANCH_OF_EUROPEAN_ECONOMIC_INTEREST_GROUPING_EGF	EGF	LegalEntityExtenedStructure	LegalForm	Eiropas ekonomisko intereðu grupas filiâle	Branch of European Economic Interest Grouping
legal_form	BRANCH_OF_FOREIGN_COMPANY_AKF	AKF	LegalEntityExtenedStructure	LegalForm	Ârvalsts komersanta filiâle	Branch of Foreign Company
legal_form	CHURCH_BAZ	BAZ	LegalEntityExtenedStructure	LegalForm	Baznîca	Church
legal_form	CONGREGATION_DRZ	DRZ	LegalEntityExtenedStructure	LegalForm	Draudze	Congregation
legal_form	COOPERATIVE_SHARE_COMPANY_PAJ	PAJ	LegalEntityExtenedStructure	LegalForm	Paju sabiedrîba  (vçsturiska forma)	Co-operative Share Company (historical form)
legal_form	COOPERATIVE_SOCIETIES_COMPANY_KBU	KBU	LegalEntityExtenedStructure	LegalForm	Kooperatîvo biedrîbu uzòçmums (vçsturiska forma)	Undertaking of Co-operative Societies  (historical form)
legal_form	COOPERATIVE_SOCIETY_KB	KB	LegalEntityExtenedStructure	LegalForm	Kooperatîvâ sabiedrîba	Co-operative Society
legal_form	DEACONATE_INSTITUTION_DIS	DIS	LegalEntityExtenedStructure	LegalForm	Diakonijas iestâde (vçsturiska forma)	Deaconate Institution (historical form)
legal_form	DIOCESE_DIE	DIE	LegalEntityExtenedStructure	LegalForm	Diecçze	Diocese
legal_form	EDUCATION_INSTITUTION_FOR_ECCLESIASTICS_GPM	GPM	LegalEntityExtenedStructure	LegalForm	Garîgâ personâla mâcîbu iestâde (vçsturiska forma)	Education Institution for Ecclesiastics (historical form)
legal_form	EUROPEAN_COMPANY_SE	SE	LegalEntityExtenedStructure	LegalForm	Eiropas komercsabiedrîba	European Company 
legal_form	EUROPEAN_COOPERATIVE_SOCIETY_SCE	SCE	LegalEntityExtenedStructure	LegalForm	Eiropas kooperatîvâ sabiedrîba	European Cooperative Society
legal_form	EUROPEAN_ECONOMIC_INTEREST_GROUPING_EIG	EIG	LegalEntityExtenedStructure	LegalForm	Eiropas ekonomisko intereðu grupa	European Economic Interest Grouping
legal_form	FAMILY_UNDERTAKING_GIM	GIM	LegalEntityExtenedStructure	LegalForm	Ìimenes uzòçmums  (vçsturiska forma)	Family Undertaking (historical form)
legal_form	FARM_ZEM	ZEM	LegalEntityExtenedStructure	LegalForm	Zemnieku saimniecîba	Farm
legal_form	FISHING_UNDERTAKING_ZVJ	ZVJ	LegalEntityExtenedStructure	LegalForm	Zvejnieku saimniecîba	Fishing Undertaking
legal_form	FOREIGN_REPRESENTATIVE_OFFICE_AKP	AKP	LegalEntityExtenedStructure	LegalForm	Ârvalsts komersanta pârstâvniecîba (vçsturiska forma)	Foreign Representative Office (historical form)
legal_form	FOREIGN_REPRESENTATIVE_OFFICE_PAR	PAR	LegalEntityExtenedStructure	LegalForm	Ârvalsts komersanta pârstâvniecîba	Foreign Representative Office 
legal_form	FOUNDATION_NOD	NOD	LegalEntityExtenedStructure	LegalForm	Nodibinâjums	Foundation
legal_form	FULL_LIABILITY_PARTNERSHIP_LIG	LIG	LegalEntityExtenedStructure	LegalForm	Lîgumsabiedrîba ar pilnu atbildîbu (vçsturiska forma)	Full Liability Partnership (historical form)
legal_form	GENERAL_PARTNERSHIP_PS	PS	LegalEntityExtenedStructure	LegalForm	Pilnsabiedrîba	General Partnership
legal_form	INDIVIDUAL_UNDERTAKING_IND	IND	LegalEntityExtenedStructure	LegalForm	Individuâlais uzòçmums	Individual Undertaking
legal_form	INSTITUTION_OF_RELIGIOUS_ORGANISATION_ROI	ROI	LegalEntityExtenedStructure	LegalForm	Iestâde	Institution of Religious Organisation
legal_form	JURIDIC_PERSON_UNDER_CANON_LAW_KAT	KAT	LegalEntityExtenedStructure	LegalForm	Katoïu baznîcas publisko tiesîbu juridiskâ persona	Juridic person governed by the Canon law of the Catholic Church
legal_form	LIMITED_LIABILITY_COMPANY_SIA	SIA	LegalEntityExtenedStructure	LegalForm	Sabiedrîba ar ierobeþotu atbildîbu	Limited Liability Company
legal_form	LIMITED_PARTNERSHIP_KS	KS	LegalEntityExtenedStructure	LegalForm	Komandîtsabiedrîba	Limited Partnership
legal_form	MISSION_MIS	MIS	LegalEntityExtenedStructure	LegalForm	Misija (vçsturiska forma)	Mission  (historical form)
legal_form	MONASTERY_KLO	KLO	LegalEntityExtenedStructure	LegalForm	Klosteris (vçsturiska forma)	Monastery (historical form)
legal_form	MUNICIPAL_COMPANY_PSV	PSV	LegalEntityExtenedStructure	LegalForm	Paðvaldîbas uzòçmums (vçsturiska forma)	Municipal Company (historical form)
legal_form	NEW_CONGREGATION_DRJ	DRJ	LegalEntityExtenedStructure	LegalForm	Draudze (jaunâ)	Congregation (new)
legal_form	OPEN_PUBLIC_FUND_ASF	ASF	LegalEntityExtenedStructure	LegalForm	Atklâtais sabiedriskais fonds (vçsturiska forma)	Open Public Fund  (historical form)
legal_form	PERMANENT_UNIT_OF_TRADE_UNION_ARV	ARV	LegalEntityExtenedStructure	LegalForm	Arodbiedrîbas patstâvîgâ vienîba	Permanent Unit of Trade Union
legal_form	POLITICAL_ORGANISATION_PARTY_POL	POL	LegalEntityExtenedStructure	LegalForm	Politiska organizâcija, partija (vçsturiska forma)	Political Organisation, Party (historical form)
legal_form	POLITICAL_PARTY_PP	PP	LegalEntityExtenedStructure	LegalForm	Politiskâ partija	Political Party
legal_form	PROFESSIONAL_CORPORATION_KOR	KOR	LegalEntityExtenedStructure	LegalForm	Korporâcija, profesionâlâ biedrîba (vçsturiska forma)	Corporation, Professional Association (historical form)
legal_form	PROFESSIONAL_CREATIVE_ORGANISATION_PRO	PRO	LegalEntityExtenedStructure	LegalForm	Profesionâlâ radoðâ organizâcija (vçsturiska forma)	Trade Union (historical form)
legal_form	PUBLIC_BODY	PPI	LegalEntityExtenedStructure	LegalForm	Publiskâ persona vai iestâde	Public person or authority
legal_form	PUBLIC_LIMITED_COMPANY_AS	AS	LegalEntityExtenedStructure	LegalForm	Akciju sabiedrîba	Public Limited Company
